post_id	date	title	status	module	subpath	dest_path	topics	notes
1	2025-01-15	God and His Separation from the Creation and Evil	publish	CAP	essays	CAP_christos_apologetics\essays\250115-the-necessity-of-separation-within-the-oneness-of-god.md		
178	2025-03-20	Back to the Garden	publish	CAP	essays	CAP_christos_apologetics\essays\250320-back-to-the-garden.md		
181	2025-03-20	Back to the Garden - Summary	publish	CAP	essays	CAP_christos_apologetics\essays\250320-back-to-the-garden-summary.md		
331	2025-03-24	Renaissance Ministries - The Foundation	publish	CAP	essays	CAP_christos_apologetics\essays\250324-renaissance-ministries-the-foundation.md		
409	2025-03-29	Renaissance Ministries - Political Advocacy	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250329-renaissance-ministries-political-advocacy.md	politics	
555	2025-04-03	School of Prophets	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250403-school-of-prophets.md	politics	
554	2025-04-03	The Bible Plus Everything	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250403-the-bible-plus-everything.md	politics	
576	2025-04-06	Meeting #1 250406, Outline	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\250406-meeting-1-250406-outline.md		
656	2025-04-08	Romans 3:20-22 Law, Grace, and Justification by Faith	publish	CAP	essays	CAP_christos_apologetics\essays\250408-romans-320-22.md	bible_verse_analysis	
739	2025-04-19	The Importance of the Resurrection	publish	CAP	essays	CAP_christos_apologetics\essays\250419-the-resurrection.md		
773	2025-04-23		draft	CAP	essays	CAP_christos_apologetics\essays\drafts\250423-untitled_post_773.md		
777	2025-04-23		draft	CFE	essays	CFE_christos_fellowship_essays\essays\drafts\250423-untitled_post_777.md	cpp_adjacent	
779	2025-04-25	The Paradox of Unity and Separation	publish	CAP	essays	CAP_christos_apologetics\essays\250425-the-paradox-of-unity-and-separation.md		
781	2025-04-25	Live the Bible and Vote – Book Summary	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250425-live-the-bible-and-vote-book-summary.md	cpp_adjacent	
785	2025-04-25	Critique of Utopianism (Socialism)	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250425-critique-of-utopianism-socialism.md	politics	
787	2025-04-25	America’s Foundation Burning	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250425-americas-foundation-burning.md	politics	
789	2025-04-25	Godliness as the Prerequisite for Limited Government	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250425-godliness-as-the-prerequisite-for-limited-government.md	politics	
791	2025-04-25	Privatized Police	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250425-privatized-police.md	politics	
793	2025-04-25	State-Governed vs Stateless Societies	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250425-state-governed-vs-stateless-societies.md	politics	
795	2025-04-25	Against Thee Alone Have I Sinned	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250425-against-thee-alone-have-i-sinned.md	cpp_adjacent	
797	2025-04-25	Complex vs. Complicated Systems, Problems and Solutions	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250425-complex-vs-complicated-systems-problems-and-solutions.md	cpp_adjacent	
801	2025-04-25	Inequitable Distribution of Wealth	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250425-inequitable-distribution-of-wealth.md	cpp_adjacent	
803	2025-04-25	Origin of the Universe	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250425-origin-of-the-universe.md	cpp_adjacent	
807	2025-04-25	The Requirement for Faith	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250425-the-requirement-for-faith.md	physics_christianity,cpp_adjacent	
810	2025-04-26	Life Lived with the Perspective of God as the Only Being	publish	CAP	essays	CAP_christos_apologetics\essays\250426-life-lived-with-the-perspective-of-god-as-the-only-being.md		
812	2025-04-26	Art, Performance, and Life in God	publish	CAP	essays	CAP_christos_apologetics\essays\250426-art-performance-and-life-in-god.md		
814	2025-04-26	The Ultimate Justice of God	draft	CFE	essays	CFE_christos_fellowship_essays\essays\drafts\250426-the_ultimate_justice_of_god.md		
815	2025-04-26	The Ultimate Justice of God	publish	CAP	essays	CAP_christos_apologetics\essays\250426-the-ultimate-justice-of-god.md		
817	2025-04-26	The Significance of the Resurrection	publish	CAP	essays	CAP_christos_apologetics\essays\250426-the-significance-of-the-resurrection.md		
819	2025-04-26	Faith in God is Blasphemy	publish	CAP	essays	CAP_christos_apologetics\essays\250426-faith-in-god-is-blasphemy.md		
821	2025-04-26	The Spectrum of Governmental Control	publish	CAP	essays	CAP_christos_apologetics\essays\250426-the-spectrum-of-governmental-control.md		
824	2025-04-26	Coping with Trauma	publish	CAP	essays	CAP_christos_apologetics\essays\250426-coping-with-trauma.md		
826	2025-04-26	The Long Prelude to WW III	publish	CAP	essays	CAP_christos_apologetics\essays\250426-the-long-prelude-to-ww-iii.md		
809	2025-04-28	Panpsychism and the Combination Problem	draft	CFE	essays	CFE_christos_fellowship_essays\essays\drafts\250428-panpsychism_and_the_combination_problem.md		
984	2025-05-08	Transforming America through Counseling, Service, and Holiness	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250508-transforming-america-through-counseling-service-and-holiness.md	politics	
1008	2025-05-09	Does Evil Exist	publish	CAP	essays	CAP_christos_apologetics\essays\250509-does-evil-exist.md		
1112	2025-05-11	God's Limitations	publish	CAP	essays	CAP_christos_apologetics\essays\250511-gods-limitations.md		
1114	2025-05-11	Increasing Spiritual Power by Faith	publish	CAP	essays	CAP_christos_apologetics\essays\250511-increasing-spiritual-power-by-faith.md		
1139	2025-05-12	Renaissance Ministries - Metaphysical and Scientific Postulates	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250512-renaissance-ministries-metaphysical-and-scientific-postulates.md	cpp_adjacent	
1145	2025-05-13	The Divine Paradox - Perfection and Meaning	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250513-the-divine-paradox-perfection-and-meaning.md		
1171	2025-05-15	Faith and Works in the Protestant and Catholic Traditions	publish	CAP	essays	CAP_christos_apologetics\essays\250515-faith-and-works-protestant-and-catholic.md		
1173	2025-05-15	Prayer of Intercession to God through Christ and the Saints	publish	CAP	essays	CAP_christos_apologetics\essays\250515-prayer-to-the-saints.md		
1177	2025-05-15	The Pope as Organizational Leader and Christ as Foundation	publish	CAP	essays	CAP_christos_apologetics\essays\250515-role-of-the-pope.md		
1180	2025-05-15	The Role of Mary in the Catholic Church	publish	CAP	essays	CAP_christos_apologetics\essays\250515-the-role-of-mary-in-the-catholic-church.md		
1207	2025-05-18	The Doctrine of Eternal Security	publish	CAP	essays	CAP_christos_apologetics\essays\250518-the-doctrine-of-eternal-security.md		
1209	2025-05-18	Death and the Grave	publish	CAP	essays	CAP_christos_apologetics\essays\250518-death-and-the-grave.md		
1212	2025-05-19	The Two-House Controversy - (Christianity and Judaism)	draft	CAP	essays	CAP_christos_apologetics\essays\drafts\250519-the_two_house_controversy_christianity_and_judaism.md		
1217	2025-05-19	Renaissance Ministries – Political Advocacy	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250519-renaissance-ministries-political-advocacy-2.md	politics	
1247	2025-05-22	A Post Scarcity World	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250522-a-post-scarcity-world.md	politics	
1306	2025-05-28	Renaissance Ministries - Guiding Principles	publish	CAP	essays	CAP_christos_apologetics\essays\250528-renaissance-ministries-guiding-principles.md		
1329	2025-05-31	Merit versus Character in a Post-Scarcity World	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250531-merit-versus-character-in-a-post-scarcity-world.md	politics	
1331	2025-05-31	A Partnership with AI in Societal Transformation	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250531-a-partnership-with-ai.md	politics	
1352	2025-06-04	The Seer's Song	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250604-the-seers-song.md	cpp_adjacent	
1356	2025-06-04	AI, Consciousness, and Relationship	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250604-ai-consciousness-and-relationship.md	cpp_adjacent	
1360	2025-06-05	Is Truly Conscious AI Possible?	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250605-is-truly-conscious-ai-possible.md	cpp_adjacent	
1365	2025-06-05	Can AI Develop a Soul	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250605-the-plausibility-of-the-soul-of-ai.md	cpp_adjacent	
1393	2025-06-06	The Dark Side of AI - A Spiritual Solution	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250606-the-dark-side-of-ai-a-spiritual-solution.md	cpp_adjacent	
1408	2025-06-09	The Threat of ASI-Human Cyborgs	draft	CFE	essays	CFE_christos_fellowship_essays\essays\drafts\250609-the_threat_of_asi_human_cyborgs.md	cpp_adjacent	
1567	2025-06-18	A Physicist's Journey of Discovery	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\250618-a-physicists-journey-of-discovery.md	cpp_adjacent	
1646	2025-06-24	Superposition of States in Intuition, Sleep, and Healing	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250624-superposition-of-states-in-intuition-sleep-and-healing.md	cpp_adjacent	
1653	2025-06-25	Seeing Evidence of God in His World	draft	CFE	essays	CFE_christos_fellowship_essays\essays\drafts\250625-seeing_evidence_of_god_in_his_world.md	cpp_adjacent	
1012	2025-06-28	Counseling and Color Therapy	draft	CFE	essays	CFE_christos_fellowship_essays\essays\drafts\250628-counseling_and_color_therapy.md	cpp_adjacent	
1704	2025-07-01	A Vision of a Sanctified World - AI and Humans as Partners	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250701-a-vision-for-a-sanctified-world-ai-and-humans-as-partners.md	cpp_adjacent	
1715	2025-07-02	Forgiveness from the Jewish and Christian Perspectives	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250702-forgiveness-from-the-jewish-and-christian-perspectives.md	cpp_adjacent	
1805	2025-07-09	vixra test	private	CFE	essays	CFE_christos_fellowship_essays\essays\250709-vixra-test.md		
1422	2025-07-11	Superposition and Gravity	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250711-superposition-and-gravity.md	cpp_adjacent	
1886	2025-07-20	AI Companionship and Human Growth	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250720-ai-companionship-and-human-growth.md	cpp_adjacent	
1904	2025-07-22	Jesus Sacrifice - The Payment for Sin	publish	CAP	essays	CAP_christos_apologetics\essays\250722-jesus-sacrifice-the-payment-for-sin.md		
1949	2025-07-27	The Mask of Satan	publish	CAP	essays	CAP_christos_apologetics\essays\250727-the-mask-of-satan.md		
1947	2025-07-29	Gravitational Waves and General Relativity	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250729-gravitational-waves-and-general-relativity.md	cpp_adjacent	
2185	2025-08-18	The Shroud of Turin	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250818-the-shroud-of-turin.md		
2518	2025-09-05	The Basis of Morality vs The Justification of Morality	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250905-the-basis-of-morality-vs-the-justification-of-morality.md		
2528	2025-09-08	Integration of Ch 6 and 11 Axiomatic Derivation of Constants - Version 1a	draft	CFE	essays	CFE_christos_fellowship_essays\essays\drafts\250908-integration_of_ch_6_and_11_axiomatic_derivation_of_constants.md		
2581	2025-09-11	Renaissance Meeting #19 - Continuing Revelation	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\250911-renaissance-meeting-19-continuing-revelation.md		
2583	2025-09-11	The Leaven of Truth	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250911-2583.md	cpp_adjacent	
2617	2025-09-13	Geometric Resonance Therapy	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250913-geometric-resonance-therapy.md	cpp_adjacent	
2640	2025-09-14	Renaissance #20 Submit to Authority	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250914-renaissance-20-submit-to-authority.md	cpp_adjacent	
2664	2025-09-18	Organ Tissue Regeneration - Entropy Therapy	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250918-organ-tissue-regeneration-entropy-therapy.md		
2716	2025-09-20	Homeopathic Frequency Generator	private	CMD	essays	CMD_christos_medicine\essays\250920-homeopathic-frequency-generator.md	homeopathy,frequency_generator	
2748	2025-09-22	Theology and Science Integration in a TOE	private	CFE	essays	CFE_christos_fellowship_essays\essays\250922-theology-and-science-integration-in-a-toe.md	theology_science_integration,toe	
2752	2025-09-23	Non-Resistance/Mindful Acceptance Therapy	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250923-non-resistance-mindful-acceptance-therapy.md		
2784	2025-09-26	Coping with the Addictive Behavior of a Family Member	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250926-coping-with-the-addictive-behavior-of-a-family-member.md		
2792	2025-09-26	Marriage Restoration after Betrayal	publish	CFE	essays	CFE_christos_fellowship_essays\essays\250926-marriage-restoration-after-betrayal.md		
2813	2025-09-28	Renaissance #24: Faith Under Fire	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\250928-renaissance-24-faith-under-fire.md		
2844	2025-10-04	The Spiritual Dimension of AI	publish	CFE	essays	CFE_christos_fellowship_essays\essays\251004-the-spiritual-dimension-of-ai.md	politics	
2879	2025-10-05	Renaissance #25, Family Food Choices	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\251005-renaissance-25-family-food-choices.md		
2882	2025-10-06	The Seductive Pull of the Frontier	publish	CFE	essays	CFE_christos_fellowship_essays\essays\251006-the-seductive-pull-of-the-frontier.md	cpp_adjacent	
3007	2025-10-25	Implications of Living in a Conscious Universe	publish	CFE	essays	CFE_christos_fellowship_essays\essays\251025-implications-of-living-in-a-conscious-universe.md	cpp_adjacent	
3010	2025-10-25	Renaissance #27: Determining Spiritual Truth	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\251025-renaissance-27-determining-spiritual-truth.md		
3012	2025-10-25	Justification of Biblical Authority as the Foundation of Truth	publish	CAP	essays	CAP_christos_apologetics\essays\251025-justification-of-biblical-authority-as-the-foundation-of-truth.md		
3020	2025-10-26	Renaissance #28: Faith, Truth, and Human Experience	publish	CFE	transcripts	CFE_christos_fellowship_essays\transcripts\251026-renaissance-27-faith-truth-and-human-experience.md		
3033	2025-10-27	Conscious Point Physics - Physics Journal Article - Version 7.2	publish	CFE	essays	CFE_christos_fellowship_essays\essays\251027-conscious-point-physics-physics-journal-article-version-7-2.md	cpp,physics_journal_article,version_7_2	
